"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_zfbubusik_TLmkMaoFhi","Items","Items","Předměty","Sachen","Предметы","Przedmiot","Tételek","Oggetti","Objetos","Matières d'examen","项目","アイテム","Objeto","项目"
"STR_zfbubusik_ilKhdjrgJEXw","Type of damage","Type of damage","Typ poškození","Art des Schadens","Тип урона","Rodzaj obrażeń","A kár típusa","Tipo di danno","Tipo de daño","Type de dégâts","损坏类型","損傷の種類","Tipo de dano","伤害类型"
"STR_zfbubusik_pmnRGBpLKHdgR","Player's HP","Player's HP","HP player","HP-Spieler","HP игрока","HP gracza","Játékos HP","HP giocatore","HP jugador","Joueur HP","玩家HP","プレイヤーのHP","HP jogador","玩家HP"
"STR_zfbubusik_hkWrECasUao","received damage from","received damage from","způsobil škodu","erlitt einen Schaden von","получил урон от","otrzymał obrażenia od","kapott kár","ha ricevuto danni da","recibió daño de","a subi des dégâts de","受到来自","からの被害を受けた","recebeu danos de","受到来自"
"STR_zfbubusik_tBijiitxZSSVOy","Damage to cars","Damage to cars","Škoda Auto","Schaden am Auto","Урон по авто","Uszkodzenia przez auto","Az autók károsodása","Danni da auto","Daño automático","Dégâts auto","汽车损坏","車への損傷","Dano de carro","汽车损坏"
"STR_zfbubusik_bnKewobCPhsN","It was destroyed","It was destroyed","byl zničen","wurde zerstört","был уничтожен","został zniszczony","Elpusztult","è stato distrutto","fue destruido","a été détruit","它被摧毁了","それは破壊されました","foi destruído","它被摧毁了"
"STR_zfbubusik_QXaeatMZpNok","to the zone","to the zone","do zóny","in die Zone","в зону","do strefy","a zónába","nella zona","en la zona","dans la zone","在区域","ゾーンへ","na zona","在区域"
"STR_zfbubusik_ogJqQwlpDmpv","built Flagpole","built Flagpole","postavený stožár","gebauter Fahnenmast","построил флагшток","zbudowany maszt","épített zászlórúd","costruito pennone","asta de Bandera construida","mât de drapeau construit","建造了旗杆","建てられた旗竿","mastro de bandeira construído","建造了旗杆"
"STR_zfbubusik_caCBiFpXEpz","flagpole disappeared","flagpole disappeared","stožár zmizel","fahnenmast verschwunden","Исчез флагшток","maszt zniknął","eltűnt a zászlórúd","pennone scomparso","asta de bandera desaparecida","mât disparu","旗杆消失了","旗竿が消えた","o mastro desapareceu","旗杆消失了"
"STR_zfbubusik_sQzWUSYPBiYFju","From the game world","From the game world","z herního světa","aus der Spielwelt","из игрового мира","ze świata gier","A játék világából","dal mondo dei giochi","del mundo del juego","du monde du jeu","来自游戏世界","ゲームの世界から","do mundo do jogo","来自游戏世界"
"STR_zfbubusik_QQfUylMTZSgE","List of players","List of players","Seznam hráčů","Spielerliste","Список игроков","Lista graczy","Játékosok listája","Elenco dei giocatori","Lista de jugadores","Liste des joueurs","玩家名单","選手一覧","Lista de jogadores","玩家名单"
"STR_zfbubusik_szjUJrxLcPPbqs","days","days","dny","Tage","д.","wykończenie","napok","giorni","día","jours","天","日","dia","天"
"STR_zfbubusik_RWEUOhmkXVaf","hours","hours","doba","Öffnungszeit","ч.","godziny","órák","ora","horas","heures","小时","営業時間","horas","小时"
"STR_zfbubusik_ToZKdvCsoWBuIL","minutes","minutes","minuta","Minuten","м.","chwila","jegyzőkönyv","minuti","minutos","min","分钟","議事録","minuto","分钟"
"STR_zfbubusik_mzxEqueswuH","Player","Player","Hráč","Spieler","Игрок","Gracz","Játékos","Giocatore","Jugador","Joueur","玩家","プレーヤー","Jogador","玩家"
"STR_zfbubusik_hKvJRvWSJl","Location","Location","Poloha","Lage","Местоположение","Położenie","Helyszín","Posizione","Localización","Emplacement","地点","場所","Localização","地点"
"STR_zfbubusik_RpALYrcCtMK","Time in the game","Time in the game","Čas ve hře","Zeit im Spiel","Время в игре","Czas w grze","Idő a játékban","Tempo nel gioco","Tiempo en el juego","Temps de jeu","在线时间","ゲーム内の時間","Tempo de jogo","在线时间"
"STR_zfbubusik_TauaHclomGHBluW","List of players (continued)","List of players (continued)","Seznam hráčů (pokračování)","Spielerliste (Fortsetzung)","Список игроков (продолжение)","Lista graczy (ciąg dalszy)","Játékosok listája (folytatás)","Elenco dei giocatori (continua)","Lista de jugadores (continuación)","Liste des joueurs (suite)","玩家名单（续）","プレイヤーのリスト(続き)","Lista de jogadores (continuação)","玩家名单（续）"
"STR_zfbubusik_REYNFEAyNcqyI","within a radius of","within a radius of","v okruhu","innerhalb des Radius","в радиусе","w promieniu","sugarú körön belül","Nel raggio","en un Radio de","dans un rayon de","半径范围内","の半径の内で","dentro do raio","半径范围内"
"STR_zfbubusik_AGoXMHdnwE","meters from the center","meters from the center","metrů od centra","meter vom Zentrum entfernt","м. от центра","metrów od centrum","méterre a központtól","metri dal centro","metros del centro","mètres du centre","距离中心的米","中心からのメートル","metros do centro","距离中心的米"
"STR_zfbubusik_CceOuIkiQTnRJ","Coordinates","Coordinates","Souřadnice","Koordinaten","Координаты","Namiary","Koordináták","Coordinata","Coordenadas","Coordonnées","坐标","座標","Coordenadas","坐标"
"STR_zfbubusik_TxrovSRSvbqzUz","Profile","Profile","Profil","Profil","Профиль","Kształtownik","Profil","Profilo","Perfil","Profil","个人资料","プロフィール","Perfil","个人资料"
"STR_zfbubusik_euVnmrfAPCD","Initialized by","Initialized by","Inicializováno podle","Initialisiert durch","Инициализировано по","Zainicjowane przez","Által inicializált","Inizializzato da","Inicializado por","Initialisé par","初始化","によって初期化されます","Software inicializado","初始化"
"STR_zfbubusik_eFPjfsWiDJJTJC","coordinates","coordinates","souřadnice","Koordinaten","координатам","namiary","koordináták","coordinate","coordenadas","coordonnées","坐标","座標","coordenadas","坐标"
"STR_zfbubusik_egmlsGzWAq","Disappeared from the game world by","Disappeared from the game world by","Zmizel z herního světa","Aus der Spielwelt verschwunden","Исчезло из игрового мира по","Zniknęło ze świata gier na","Eltűnt a játék világából","Scomparso dal mondo di gioco","Desapareció del mundo del juego por","A disparu du monde du jeu par","从游戏世界消失了","によってゲームの世界から姿を消した","Desapareceu do mundo do jogo","从游戏世界消失了"
"STR_zfbubusik_juWFVnpGZr","with","with","s","mit","с","z","a","con","con","avec","与","と","com","与"
"STR_zfbubusik_lENCAszgLUAvjd","destroyed","destroyed","zmařený","zerschmettert","уничтожено","zniszczone","megsemmisült","distrutto","destruido","détruit","被摧毁","破壊された","aniquilado","被摧毁"
"STR_zfbubusik_EClmPxBQkIwj","damaged","damaged","poškozený","beschädigt","повреждено","uszkodzone","sérült","danneggiato","dañado","abîmé","伤害","損傷した","leso","伤害"
"STR_zfbubusik_eINJSbGKneA","Damage","Damage","Škoda","Schaden","Урон","Strata","Kár","Danno","Daño","Dégâts","伤害","ダメージ","Perdas","伤害"
"STR_zfbubusik_kcadtArjhuXPTC","Damage area","Damage area","Oblast poškození","Schadenszone","Зона повреждения","Strefa uszkodzeń","Kár terület","Area di danno","Área de daño","Zone de dégât","伤害范围","ダメージエリア","Área de dano","伤害范围"
"STR_zfbubusik_yVntFAXnDmT","connected to the server","connected to the server","připojil se k serveru","mit dem Server verbunden","подключился к серверу","połączono się z serwerem","csatlakozik a szerverhez","connesso al server","conectado al servidor","connecté au serveur","连接到服务器","サーバーに接続されている","conectado ao servidor","连接到服务器"
"STR_zfbubusik_FksragLlct","disconnected from the server","disconnected from the server","odpojil se od serveru","vom Server getrennt","отключился от сервера","odłączony od serwera","leválasztva a kiszolgálóról","disconnesso dal server","desconectado del servidor","déconnecté du serveur","与服务器断开连接","サーバーから切断されました","desconectado do servidor","与服务器断开连接"
"STR_zfbubusik_RhEdZwSNUV","Level 1 chemical contamination","Level 1 chemical contamination","chemická infekce 1. stupně","chemischer Befall der Stufe 1","химическим заражением 1 уровня","skażenie chemiczne poziomu 1","1. szintű kémiai szennyeződés","infezione chimica di livello 1","contaminación química de nivel 1","contamination chimique de niveau 1","一级化学污染","レベル1化学物質汚染","contaminação química nível 1","一级化学污染"
"STR_zfbubusik_fdZSEWZKwW","Level 1 chemical contamination","Level 1 chemical contamination","chemická infekce 1. stupně","chemische Kontamination Stufe 1","химического заражения 1 уровня","skażenie chemiczne poziomu 1","1. szintű kémiai szennyeződés","contaminazione chimica di livello 1","contaminación química nivel 1","contamination chimique de niveau 1","一级化学污染","レベル1化学物質汚染","contaminação química nível 1","一级化学污染"
"STR_zfbubusik_mrhDpFxeoD","Level 2 chemical contamination","Level 2 chemical contamination","chemická infekce 2. stupně","chemischer Befall Stufe 2","химическим заражением 2 уровня","skażeniem chemicznym poziomu 2","2. szintű kémiai szennyeződés","infezione chimica di livello 2","contaminación química nivel 2","contamination chimique de niveau 2","第2级化学污染","レベル2化学物質汚染","contaminação química nível 2","第2级化学污染"
"STR_zfbubusik_lGTByJtxIoIi","Level 2 chemical contamination","Level 2 chemical contamination","chemická infekce 2. stupně","chemische Kontamination Stufe 2","химического заражения 2 уровня","skażenie chemiczne na poziomie 2","2. szintű kémiai szennyeződés","contaminazione chimica di livello 2","contaminación química nivel 2","contamination chimique de niveau 2","第2级化学污染","レベル2化学物質汚染","contaminação química nível 2","第2级化学污染"
"STR_zfbubusik_BaAeIzthpMPh","Level 3 chemical contamination","Level 3 chemical contamination","chemická infekce 3 úrovně","chemische Kontamination Stufe 3","химическим заражением 3 уровня","skażeniem chemicznym na poziomie 3","3. szintű kémiai szennyeződés","infezione chimica di livello 3","contaminación química nivel 3","contamination chimique de niveau 3","第3级化学污染","レベル3化学物質汚染","contaminação química nível 3","第3级化学污染"
"STR_zfbubusik_iCbWXnFULS","Level 3 chemical contamination","Level 3 chemical contamination","chemická infekce 3 úrovně","chemische Kontamination Stufe 3","химического заражения 3 уровня","skażenie chemiczne na poziomie 3","3. szintű kémiai szennyeződés","infezione chimica di livello 3","contaminación química nivel 3","contamination chimique de niveau 3","第3级化学污染","レベル3化学物質汚染","contaminação química Nível 3","第3级化学污染"
"STR_zfbubusik_KkFOZFIjHRW","cholera","cholera","cholera","Cholera","холерой","cholera","kolera","colera","cólera","choléra","霍乱","コレラ","cólera","霍乱"
"STR_zfbubusik_kXlvxnOQyJ","cholera","cholera","cholera","Cholera","холеры","cholera","kolera","colera","cóleras","choléras","霍乱","コレラ","cólera","霍乱"
"STR_zfbubusik_IGrbynXBrijWkiQ","poisoning","poisoning","otrava","Vergiftung","отравлением","zatrucie","mérgezés","avvelenamento","envenenamiento","empoisonnement","中毒","中毒","envenenamento","中毒"
"STR_zfbubusik_ZzQBFKdTbCDuiLT","poisoning","poisoning","otrava","Vergiftungen","отравления","zatrucie","mérgezés","avvelenamenti","envenenamientos","empoisonnements","中毒","中毒","envenenamento","中毒"
"STR_zfbubusik_TvBhIPDquqgfpJU","wound Infection","wound Infection","infekce rány","Wundinfektion","заражением раны","zakażenie rany","sebfertőzés","infezione della ferita","infección de la Herida","infection de la plaie","伤口感染","創傷感染","infecção da ferida","伤口感染"
"STR_zfbubusik_ORGexyvDJKNSmsD","wound Infection","wound Infection","infekce rány","Wundinfektionen","заражения раны","zakażenia rany","a seb fertőzése","infezione della ferita","infección de la herida","infection de la plaie","伤口感染","傷の感染","infecção da ferida","伤口感染"
"STR_zfbubusik_lwfxyMivbXmkOfz","got into","got into","dostal se do","bin hineingekommen","сел в","dostał się do","bejutott","sono entrato","se metió en","entré dans","进去","に入った","entrou em","进去"
"STR_zfbubusik_LfbRVAqrIe","Jumped out of","Jumped out of","vyskočil z","sprang aus","выпрыгнул из","wyskoczył z","Kiugrott","saltato fuori","saltó de","sauté de","出来","飛び降りたのは","pulou de","出来"
"STR_zfbubusik_bANgqkTTLVGtj","got out of","got out of","vyšel z","verlassen","вышел из","wyszedł z","kiszállt","fuori","salió de","sorti le","离开","外に出た","saiu de","离开"
"STR_zfbubusik_ZuqGACHrZbKfA","unknown object","unknown object","neznámý objekt","unbekanntes Objekt","неизвестный объект","nieznany obiekt","ismeretlen tárgy","oggetto sconosciuto","objeto desconocido","objet inconnu","未知对象","不明なオブジェクト","objecto desconhecido","未知对象"
"STR_zfbubusik_TEpztDeXIAsXk","no target","no target","žádný cíl","kein Ziel","нет цели","brak celu","nincs cél","nessun bersaglio","sin objetivo","pas de cible","没有目标","ターゲットなし","nenhum alvo","没有目标"
"STR_zfbubusik_DbAbJwwNfm","performed an action","performed an action","provedl akci","eine Aktion ausgeführt","выполнил действие","wykonał akcję","végrehajtott egy műveletet","eseguire un'azione","realizó una acción","effectué une action","执行了操作","アクションを実行しました","executou uma acção","执行了操作"
"STR_zfbubusik_njSeujLpxOsOI","missed the beach","missed the beach","minul pláž","vermisste den Strand","Соскучился по пляжу","tęskniłem za plażą","hiányzott a strand","manca la spiaggia","perdí la playa","raté la plage","错过了海滩","ビーチを逃した","perdeu a praia","错过了海滩"
"STR_zfbubusik_FJJFKBOXpRSPKM","bled out","bled out","vykrvácel","ausgeblutet","Истёк кровью","wykrwawił się","elvérzett","dissanguato","desangrado","saigné","流血了","ブレッドアウト","sangrou","流血了"
"STR_zfbubusik_FgEfxBNDgFukETm","received cut","received cut","přijatý řez","empfangener Schnitt","получил порез","otrzymane cięcie","kapott vágás","taglio ricevuto","corte recibido","coupe reçue","受到割伤","受け取ったカット","corte recebido","受到割伤"
"STR_zfbubusik_MdeEnOPFMgHKNG","unknown","unknown","neznámá","unbekannt","Неизвестно","nieznany","ismeretlen","sconosciuto","desconocido","inconnu","未知","不明","desconhecido","未知"
"STR_zfbubusik_VVLLmgyjVMCaZkG","Zombie","Zombie","Zombie","Zombie","Зомби","Zombie","Zombie","Zombi","Zombies","Zombie","僵尸","ゾンビ","Zombies","僵尸"
"STR_zfbubusik_qZwVbaPCfRV","Animal","Animal","Zvíře","Tier","Животное","Zwierzę","Állat","Animale","Animal","Animal","动物","動物","Animal","动物"
"STR_zfbubusik_TyLRiJlIQdcr","Object","Object","Předmět","Objekt","Объект","Obiekt","Tárgy","Oggetto","Objeto","Objet","对象","オブジェクト","Objecto","对象"
"STR_zfbubusik_LLiUaYTZvExKTax","falls","falls","pád","Rueckgang","падения","upadek","falls","cadute","caídas","chutes","瀑布","滝","queda","瀑布"
"STR_zfbubusik_YWVouidfUVG","cut count","cut count","počet řezů","anzahl der Schnitte","Количество порезов","cut count","vágott szám","taglio conteggio","recuento de cortes","nombre de coupes","伤口数量","カット数","Contagem de cortes","伤口数量"
"STR_zfbubusik_pESKQddYUxM","took","took","vzít","nehmen","взял","wziął","vett","prendere","tomó","pris","拿取","取った","tomou","拿取"
"STR_zfbubusik_naSOinceHzmL","put","put","dát","setzen","положил","put","tedd","mettere","puesto","mettre","把","置く","put","把"
"STR_zfbubusik_iJHkWnEVwoGrpb","moved","moved","dojmout","bewegen","переместил","przeniesiony","áthelyezve","commosso","movido","déplacé","移动","移動しました","mudou-se","移动"
"STR_zfbubusik_AmFClpXjWDNyGGn","!!!the item was moved between two containers","!!!the item was moved between two containers","!!!předmět byl přemístěn mezi dva kontejnery","!!!der Gegenstand wurde zwischen zwei Containern bewegt","!!!предмет был перемещён между двумя контейнерами","!!!przedmiot został przeniesiony między dwoma pojemnikami","!!!az elemet két konténer között mozgatták","!!!l'oggetto è stato spostato tra due contenitori","!!!el artículo fue movido entre dos contenedores","!!!l'article a été déplacé entre deux conteneurs","!!!物品在两个容器之间移动","!!!アイテムは2つのコンテナ間で移動されました","!!!o item foi movido entre dois contêineres","!!!物品在两个容器之间移动"
"STR_zfbubusik_xhigBCqbwcbhxZ","look at the coordinates of the list of players who were closer to the event!!!","look at the coordinates of the list of players who were closer to the event!!!","podívejte se na souřadnice seznamu hráčů, kteří byli blíže události!!!","schau dir die Koordinaten der Spielerliste an, die dem Ereignis näher waren!!!","посмотри по координатам списка игроков, кто был ближе к событию!!!","spójrz na współrzędne listy graczy, którzy byli bliżej wydarzenia!!!","nézze meg az eseményhez közelebb álló játékosok listájának koordinátáit!!!","guarda le coordinate dell'elenco dei giocatori che erano più vicini all'evento!!!","¡Mira las coordenadas de la lista de jugadores que estaban más cerca del evento!!!","regardez les coordonnées de la liste des joueurs qui étaient plus proches de l'événement!!!","看看谁是更接近事件的玩家名单的坐标！!!","イベントに近かったプレイヤーのリストの座標を見てください！!!","veja as coordenadas da lista de jogadores que estiveram mais perto do evento!!!","看看谁是更接近事件的玩家名单的坐标！!!"
"STR_zfbubusik_RqiYxQUXrE","threw on ground","threw on ground","hodil na zem","auf den Boden geworfen","бросил на землю","rzucił na ziemię","a földre dobták","gettato a terra","tirado en el suelo","jeté au sol","扔在地上","地面に投げた","jogado no chão","扔在地上"
"STR_zfbubusik_NtfpXEEelblNoQF","picked up from ground","picked up from ground","zvedl ze země","vom Boden aufgenommen","подобрал с земли","podniósł z ziemi","felvette a földről","raccolto da terra","recogido del suelo","ramassé au sol","从地上捡起","地面から拾った","recolhido do solo","从地上捡起"
"STR_zfbubusik_uLQDgxjBmm","equipped to slot","equipped to slot","vybaven do slotu","ausgestattet mit steckplatz","повесил на слот","wyposażony do gniazda","felszerelt slot","dotato di slot","equipado para slot","équipé pour la fente","装备到插槽","スロット搭載","equipado para encaixar","装备到插槽"
"STR_zfbubusik_VCzvcPwWMghhiF","unequipped from slot","unequipped from slot","nevybavený ze slotu","unbestückt aus Steckplatz","снял со слота","bez gniazda","nincs felszerelve a nyílásból","non equipaggiato da slot","sin equipamiento de slot","non équipé de la fente","从插槽中卸下","スロットから装備されていない","Não Equipado a partir da ranhura","从插槽中卸下"
"STR_zfbubusik_sqzePKgBfBtXik","barrel","barrel","Barla","Barrel","Бочка","beczka","hordó","barile","barril","tonneau","桶","バレル","barril","桶"
"STR_zfbubusik_IabOkgCiYaYAadJ","clothing","clothing","oblečení","Kleidung","Одежда","odzież","ruházat","abbigliamento","ropa","vêtements","服装","服","vestuário","服装"
"STR_zfbubusik_vXtPyqmUhDc","tent","tent","stan","Zelt","Палатка","namiot","sátor","tenda","tienda de campaña","tente","帐篷","テント","tenda","帐篷"
"STR_zfbubusik_GDBKOKIORCnu","container","container","kontejner","Container","Контейнер","kontener","konténer","contenitore","contenedor","conteneur","容器","コンテナ","contentor","容器"
"STR_zfbubusik_cHdamoEJgqwkS","character","character","znak","Charakter","Персонаж","charakter","karakter","carattere","carácter","caractère","角色","キャラクター","personagem","角色"
"STR_zfbubusik_ctzCJHHddgYI","unsorted","unsorted","netříděné","unsortierten","Неотсортированное","nieposortowane","rendezetlen","non ordinati","sin clasificar","non triés","未分类","未分類","Não classificado","未分类"
"STR_zfbubusik_VqbloYAESYIJfGL","in","in","v","in","в","w","a","in","en","dans","在","で","em","在"
"STR_zfbubusik_A_boat_hd","Boat","Boat","Bárka","Boot","Лодка","Łódź","Egy hajó","Barca","Lancha","Bateau","一艘船","ボート","Barco","一艘船"
"STR_zfbubusik_Initialized_pl","Initialized by","Initialized by","Inicializováno podle","Initialisiert durch","Инициализирована по","Zainicjowane przez","Által inicializált","Inizializzato da","Inicializado por","Initialisé par","初始化","によって初期化されます","Software inicializado","初始化"
"STR_zfbubusik_Disappeared_from_the_vd","Disappeared from the game world by","Disappeared from the game world by","Zmizela z herního světa","Aus der Spielwelt verschwunden","исчезла из игрового мира по","Zniknęła ze świata gier na","Eltűnt a játék világából","Scomparso dal mondo di gioco","Desapareció del mundo del juego por","A disparu du monde du jeu par","从游戏世界消失了","によってゲームの世界から姿を消した","Desapareceu do mundo do jogo","从游戏世界消失了"
"STR_zfbubusik_Initialized_by_coordinates_uv","Initialized by coordinates","Initialized by coordinates","Inicializováno podle souřadnic","Initialisiert nach Koordinaten","Инициализирована по координатам","Inicjowana według współrzędnych","Koordinátákkal inicializálva","Inizializzato per coordinate","Inicializado por coordenadas","Initialisé par coordonnées","由坐标初始化","座標によって初期化されます","Inicializado por coordenadas","由坐标初始化"
"STR_zfbubusik_disappeared_from_the_qo","disappeared from the game world by coordinates","disappeared from the game world by coordinates","zmizela z herního světa podle souřadnic","nach Koordinaten aus der Spielwelt verschwunden","исчезла из игрового мира по координатам","zniknęła ze świata gry według współrzędnych","koordinátákkal eltűnt a játékvilágból","scomparso dal mondo di gioco per coordinate","desapareció del mundo del juego en las coordenadas","disparu du monde du jeu par coordonnées","通过坐标从游戏世界中消失","座標によってゲームの世界から姿を消した","desapareceu do mundo do jogo por coordenadas","通过坐标从游戏世界中消失"

"STR_zfbubusik_cholera_vi","cholera","cholera","cholera","Cholera","холера","cholera","holéra","colera","colera","choléra","霍乱","コレラ","colera","霍乱"
"STR_zfbubusik_food_poisoning_yv","food poisoning","food poisoning","jedovité potraviny","Vergiftung durch Futtermittel","пищевое отравление","otrucie pokarmowe","ételzavart","intoxiazione alimentare","intoxicación alimentaria","intoxication alimentaire","食物中毒","食中毒","intoxicação alimentar","食物中毒"
"STR_zfbubusik_contracted_the_disease_fg","infected with the disease:","contracted the disease:","zachvácen nemocí:","er ist krank geworden:","заразился болезнью:","zachorował na chorobę:","betegséggel elkapott:","è infetto dalla malattia:","se ha contagiado de enfermedad:","a contracté la maladie :","被病毒感染：","病気に感染した：","contraiu a doença:","被病毒感染："
"STR_zfbubusik_recovered_from_the_xj","recovered from the illness:","recovered from the illness:","vyléčen z nemoci:","erholt sich von der Krankheit:","выздоровел от болезни:","wyzdrowiał z choroby:","gyógyult a betegségtől:","guarito dalla malattia:","curado de la enfermedad:","guéri de la maladie :","治愈了疾病：","病気から回復した。","curou a doença:","治愈了疾病："
"STR_zfbubusik_the_disease_has_fd","disease has changed stage","the disease has changed stage","onemocnění změnilo fázi","die Krankheit hat eine Stadium gewechselt","болезнь изменила стадию","choroba zmieniła fazę","a betegség állapota változott","la malattia ha cambiato stadio","la enfermedad cambió de etapa","la maladie a changé de stade","病变阶段变化了","病気が段階を変えた","a doença mudou de estágio","病变阶段变化了"
